instrument_id,month,date,value,kind,source,retrieved_at,note
FUND_CONSTELLATION,2024-03,2024-03-28,2.5269379,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-04,2024-04-30,2.37959727,price,cvm_inf_diario,2026-09-11T13:30:59+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-05,2024-05-31,2.32094076,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-06,2024-06-28,2.36419615,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-07,2024-07-31,2.45188305,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-08,2024-08-30,2.62754458,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-09,2024-09-30,2.49364732,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-10,2024-10-31,2.50636512,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-11,2024-11-29,2.35110765,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2024-12,2024-12-31,2.21156388,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2025-01,2025-01-31,2.40564679,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2025-02,2025-02-28,2.34923021,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2025-03,2025-03-31,2.40030293,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_CONSTELLATION,2025-04,2025-04-30,2.66742281,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2023-04,2023-04-28,174.0022584,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-05,2023-05-31,174.1639666,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-06,2023-06-30,178.0135842,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-07,2023-07-31,179.9329442,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-08,2023-08-31,178.146224,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-09,2023-09-29,175.1359054,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-10,2023-10-31,173.6008024,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-11,2023-11-30,178.2062003,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_IBIUNA_HEDGE,2023-12,2023-12-29,186.3064621,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-01,2024-01-31,183.2371267,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-02,2024-02-29,184.6570495,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-03,2024-03-28,186.0982414,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-04,2024-04-30,179.0204759,price,cvm_inf_diario,2026-09-11T13:30:59+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-05,2024-05-31,180.9319827,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-06,2024-06-28,180.4796609,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-07,2024-07-31,181.4063728,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-08,2024-08-30,182.6793049,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-09,2024-09-30,183.6105975,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-10,2024-10-31,183.9878056,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-11,2024-11-29,189.4965775,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2024-12,2024-12-31,193.3760921,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2025-01,2025-01-31,193.2951509,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2025-02,2025-02-28,195.0904484,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2025-03,2025-03-31,194.9656387,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_IBIUNA_HEDGE,2025-04,2025-04-30,201.8534708,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2023-04,2023-04-28,1.1821108,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-05,2023-05-31,1.1951725,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-06,2023-06-30,1.209956,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-07,2023-07-31,1.2235899,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
