variable_id,label,unit,year,value_raw,value,is_projection,portfolio_relevant,source,prose_check,note
primario_central,Resultado primário do governo central (% PIB),% PIB,2019,"-1,2",-1.2,False,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2020,"-9,8",-9.8,False,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2021,"-0,4",-0.4,False,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2022,"0,5",0.5,False,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2023,"-2,4",-2.4,False,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2024,"-0,4",-0.4,True,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2025,"-0,7",-0.7,True,False,Projeções XP (tabela),,
primario_central,Resultado primário do governo central (% PIB),% PIB,2026,"-0,9",-0.9,True,False,Projeções XP (tabela),,
resultado_prim_rio_para_apura_o_da_meta_,Resultado primário para apuração da meta (% PIB)*,,2024,"-0,1",-0.1,True,False,Projeções XP (tabela),,
resultado_prim_rio_para_apura_o_da_meta_,Resultado primário para apuração da meta (% PIB)*,,2025,"-0,3",-0.3,True,False,Projeções XP (tabela),,
resultado_prim_rio_para_apura_o_da_meta_,Resultado primário para apuração da meta (% PIB)*,,2026,"-0,6",-0.6,True,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2018,"-1,5",-1.5,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2019,"-0,8",-0.8,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2020,"-9,2",-9.2,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2021,"0,7",0.7,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2022,"1,2",1.2,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2023,"-2,3",-2.3,False,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2024,"-0,4",-0.4,True,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2025,"-0,7",-0.7,True,False,Projeções XP (tabela),,
resultado_prim_rio_do_setor_p_blico_pib,Resultado primário do setor público (% PIB),,2026,"-0,8",-0.8,True,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2018,"7,0",7.0,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2019,"5,8",5.8,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2020,"13,3",13.3,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2021,"4,3",4.3,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2022,"4,6",4.6,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2023,"8,8",8.8,False,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2024,"8,5",8.5,True,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2025,"9,3",9.3,True,False,Projeções XP (tabela),,
resultado_nominal_do_setor_p_blico_do_pi,Resultado nominal do setor público (% do PIB),,2026,"8,5",8.5,True,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2018,"75,3",75.3,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2019,"74,4",74.4,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2020,"86,9",86.9,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2021,"77,3",77.3,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2022,"71,7",71.7,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2023,"73,8",73.8,False,False,Projeções XP (tabela),,
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2024,"76,1",76.1,True,False,Projeções XP (tabela),,
