instrument_id,alias
FUND_RIZA_LOTUS,Riza Lotus
FUND_RIZA_LOTUS,Riza
FUND_BRAVE_I,Brave I
FUND_TREND_INB,Trend Investback
FUND_TRUXT_LB,Truxt Long Bias
FUND_TRUXT_LB,Truxt
FUND_STK_LB,STK
FUND_CONSTELLATION,Constellation
FUND_IBIUNA_HEDGE,Ibiuna Hedge
