instrument_id,symbol,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,source,retrieved_at
AZZA3,AZZA3.SA,2025-03-17 00:00:00-03:00,21.649999618530273,22.209999084472656,21.239999771118164,21.760000228881836,19.772193908691406,10090600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-18 00:00:00-03:00,21.799999237060547,23.200000762939453,21.600000381469727,23.0,20.898916244506836,8450600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-19 00:00:00-03:00,23.5,23.889999389648438,22.969999313354492,23.440000534057617,21.298723220825195,6384400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-20 00:00:00-03:00,23.56999969482422,24.18000030517578,23.3799991607666,23.790000915527344,21.616750717163086,2751100,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-21 00:00:00-03:00,23.690000534057617,24.0,23.389999389648438,24.0,21.807565689086914,2878000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-24 00:00:00-03:00,24.020000457763672,24.530000686645508,23.700000762939453,23.90999984741211,21.725788116455078,2148000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-25 00:00:00-03:00,24.010000228881836,25.0,23.790000915527344,23.790000915527344,21.616750717163086,3117800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-26 00:00:00-03:00,23.790000915527344,24.420000076293945,23.450000762939453,24.229999542236328,22.01655387878418,2460800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-27 00:00:00-03:00,24.270000457763672,25.170000076293945,24.1299991607666,25.0,22.716217041015625,2007400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-28 00:00:00-03:00,24.790000915527344,25.0,24.030000686645508,24.670000076293945,22.41636085510254,2258800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-03-31 00:00:00-03:00,24.3799991607666,24.5,23.719999313354492,24.5,22.261892318725586,1909400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-01 00:00:00-03:00,24.649999618530273,25.020000457763672,24.239999771118164,24.700000762939453,22.443620681762695,1319600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-02 00:00:00-03:00,24.700000762939453,25.200000762939453,24.049999237060547,25.040000915527344,22.752561569213867,1861400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-03 00:00:00-03:00,24.989999771118164,26.139999389648438,24.8799991607666,25.56999969482422,23.23414421081543,1570300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-04 00:00:00-03:00,25.479999542236328,25.479999542236328,23.75,24.600000381469727,22.352754592895508,2545700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-07 00:00:00-03:00,23.780000686645508,24.719999313354492,23.299999237060547,24.219999313354492,22.00746726989746,2822900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-08 00:00:00-03:00,24.739999771118164,24.950000762939453,24.020000457763672,24.75,22.48905372619629,2780800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-09 00:00:00-03:00,24.479999542236328,25.760000228881836,24.270000457763672,25.729999542236328,23.379528045654297,3623600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-10 00:00:00-03:00,25.399999618530273,25.780000686645508,25.040000915527344,25.229999542236328,22.925203323364258,973200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-11 00:00:00-03:00,25.440000534057617,26.440000534057617,25.100000381469727,26.239999771118164,23.842939376831055,2167800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-14 00:00:00-03:00,26.579999923706055,26.8700008392334,26.06999969482422,26.790000915527344,24.342697143554688,1063300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-15 00:00:00-03:00,26.530000686645508,27.15999984741211,26.25,27.0,24.533512115478516,1127500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-16 00:00:00-03:00,26.799999237060547,27.5,26.329999923706055,27.219999313354492,24.733413696289062,2343100,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-17 00:00:00-03:00,27.290000915527344,28.0,26.90999984741211,27.600000381469727,25.078702926635742,2002600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-22 00:00:00-03:00,27.549999237060547,28.030000686645508,27.020000457763672,28.0,25.442161560058594,1246800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-23 00:00:00-03:00,28.309999465942383,29.299999237060547,28.25,28.260000228881836,25.678409576416016,1710400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-24 00:00:00-03:00,28.18000030517578,29.670000076293945,28.18000030517578,29.59000015258789,26.886913299560547,1826300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-25 00:00:00-03:00,29.780000686645508,30.40999984741211,29.479999542236328,30.34000015258789,27.56839942932129,2127600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-28 00:00:00-03:00,30.3700008392334,31.81999969482422,30.139999389648438,30.899999618530273,28.077241897583008,2648700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-29 00:00:00-03:00,30.899999618530273,31.68000030517578,30.559999465942383,30.979999542236328,28.149934768676758,1697000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-04-30 00:00:00-03:00,30.979999542236328,31.84000015258789,30.760000228881836,31.84000015258789,28.931371688842773,2365200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-05-02 00:00:00-03:00,31.579999923706055,31.90999984741211,30.979999542236328,31.780000686645508,28.876853942871094,1570800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3,AZZA3.SA,2025-05-05 00:00:00-03:00,31.979999542236328,33.13999938964844,31.739999771118164,32.7599983215332,29.76732635498047,3015400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
