instrument_id,symbol,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,source,retrieved_at
LREN3,LREN3.SA,2025-03-17 00:00:00-03:00,12.029999732971191,12.619999885559082,12.010000228881836,12.5,11.468860626220703,18822900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-18 00:00:00-03:00,12.510000228881836,12.609999656677246,12.329999923706055,12.34000015258789,11.322060585021973,12142900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-19 00:00:00-03:00,12.390000343322754,12.550000190734863,12.260000228881836,12.399999618530273,11.37710952758789,16160300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-20 00:00:00-03:00,12.329999923706055,12.579999923706055,11.989999771118164,11.989999771118164,11.000930786132812,20004200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-21 00:00:00-03:00,12.029999732971191,12.619999885559082,11.90999984741211,12.420000076293945,11.39546012878418,20764600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-24 00:00:00-03:00,12.510000228881836,12.65999984741211,12.270000457763672,12.350000381469727,11.3312349319458,11896700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-25 00:00:00-03:00,12.359999656677246,12.930000305175781,12.3100004196167,12.65999984741211,11.615662574768066,18696700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-26 00:00:00-03:00,12.630000114440918,12.9399995803833,12.600000381469727,12.630000114440918,11.762578964233398,14914900,0.187752,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-27 00:00:00-03:00,12.789999961853027,12.960000038146973,12.609999656677246,12.779999732971191,11.902276992797852,17507200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
LREN3,LREN3.SA,2025-03-28 00:00:00-03:00,12.739999771118164,12.770000457763672,12.390000343322754,12.539999961853027,11.678760528564453,18815900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
