instrument_id,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,source,retrieved_at
AZZA3_debut,2024-07-15 00:00:00-03:00,54.279998779296875,54.5,53.5,53.849998474121094,48.10276412963867,1477100,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-16 00:00:00-03:00,53.849998474121094,54.18000030517578,52.709999084472656,53.380001068115234,47.68292999267578,1494600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-17 00:00:00-03:00,53.66999816894531,54.150001525878906,53.189998626708984,53.900001525878906,48.14743423461914,996600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-18 00:00:00-03:00,54.0,54.0,52.18000030517578,52.58000183105469,46.96831512451172,2117800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-19 00:00:00-03:00,52.0,53.31999969482422,52.0,52.290000915527344,46.70926284790039,807800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-22 00:00:00-03:00,52.290000915527344,53.790000915527344,52.290000915527344,53.43000030517578,47.727596282958984,1302500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-23 00:00:00-03:00,53.18000030517578,53.2599983215332,52.54999923706055,52.61000061035156,46.99510955810547,891500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-24 00:00:00-03:00,52.5,52.650001525878906,51.16999816894531,51.70000076293945,46.18223190307617,1042600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-25 00:00:00-03:00,51.810001373291016,52.0,50.119998931884766,50.400001525878906,45.02097702026367,1040000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-26 00:00:00-03:00,50.20000076293945,51.29999923706055,49.79999923706055,50.84000015258789,45.41401672363281,797100,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-29 00:00:00-03:00,51.0,51.47999954223633,49.650001525878906,49.7599983215332,44.449283599853516,932600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-30 00:00:00-03:00,49.689998626708984,49.689998626708984,48.599998474121094,48.689998626708984,43.49347686767578,943200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-07-31 00:00:00-03:00,48.79999923706055,49.79999923706055,48.63999938964844,48.650001525878906,43.45774841308594,1740500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-01 00:00:00-03:00,49.0,50.7599983215332,48.650001525878906,50.38999938964844,45.01204299926758,1160300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-02 00:00:00-03:00,49.900001525878906,51.45000076293945,49.849998474121094,50.349998474121094,44.97631072998047,1276400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-05 00:00:00-03:00,48.0,49.88999938964844,47.5,49.189998626708984,43.94011306762695,2085600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-06 00:00:00-03:00,49.790000915527344,49.9900016784668,48.5,49.380001068115234,44.109840393066406,1127300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-07 00:00:00-03:00,50.0,51.61000061035156,49.900001525878906,50.31999969482422,44.94951248168945,1129200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-08 00:00:00-03:00,50.25,51.59000015258789,50.220001220703125,51.31999969482422,45.84278869628906,1663200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-09 00:00:00-03:00,51.599998474121094,54.52000045776367,51.58000183105469,53.90999984741211,48.15636444091797,3482000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-12 00:00:00-03:00,54.0,54.849998474121094,53.029998779296875,53.47999954223633,47.77225875854492,1412200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-13 00:00:00-03:00,53.779998779296875,54.900001525878906,53.63999938964844,54.349998474121094,48.54940414428711,1274600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
AZZA3_debut,2024-08-14 00:00:00-03:00,54.9900016784668,55.63999938964844,54.459999084472656,55.15999984741211,49.27295684814453,2143600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
