instrument_id,symbol,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,source,retrieved_at
IBOV,^BVSP,2025-03-17 00:00:00-03:00,128959.0,131313.0,128957.0,130834.0,130834.0,11063200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-18 00:00:00-03:00,130832.0,131834.0,130722.0,131475.0,131475.0,10992400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-19 00:00:00-03:00,131476.0,132984.0,131451.0,132508.0,132508.0,12204900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-20 00:00:00-03:00,132505.0,132713.0,131813.0,131955.0,131955.0,14187500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-21 00:00:00-03:00,132005.0,132588.0,131776.0,132345.0,132345.0,14192000,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-24 00:00:00-03:00,132344.0,132424.0,130992.0,131321.0,131321.0,8301200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-25 00:00:00-03:00,131327.0,133471.0,131325.0,132068.0,132068.0,9237600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-26 00:00:00-03:00,132069.0,132984.0,132068.0,132520.0,132520.0,9404600,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-27 00:00:00-03:00,132522.0,133904.0,132479.0,133149.0,133149.0,10016200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-28 00:00:00-03:00,133143.0,133143.0,131315.0,131902.0,131902.0,8905500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-03-31 00:00:00-03:00,131900.0,131901.0,130115.0,130260.0,130260.0,9994900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-01 00:00:00-03:00,130267.0,131982.0,130081.0,131147.0,131147.0,8966100,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-02 00:00:00-03:00,131151.0,131424.0,130393.0,131190.0,131190.0,8819500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-03 00:00:00-03:00,131185.0,132552.0,130182.0,131141.0,131141.0,12327500,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-04 00:00:00-03:00,131139.0,131139.0,126466.0,127256.0,127256.0,13176400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-07 00:00:00-03:00,127229.0,128411.0,123876.0,125588.0,125588.0,14045900,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-08 00:00:00-03:00,125588.0,127652.0,123454.0,123932.0,123932.0,12814700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-09 00:00:00-03:00,123928.0,128649.0,122887.0,127796.0,127796.0,16919800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-10 00:00:00-03:00,127796.0,127797.0,124895.0,126355.0,126355.0,11456300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-11 00:00:00-03:00,126355.0,128386.0,126078.0,127682.0,127682.0,10084200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-14 00:00:00-03:00,127683.0,129955.0,127683.0,129454.0,129454.0,10608700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-15 00:00:00-03:00,129452.0,129927.0,128951.0,129245.0,129245.0,8837800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-16 00:00:00-03:00,129245.0,129605.0,128149.0,128317.0,128317.0,11540200,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-17 00:00:00-03:00,128316.0,130091.0,127973.0,129650.0,129650.0,9983400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-22 00:00:00-03:00,129650.0,130877.0,128726.0,130464.0,130464.0,8605300,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-23 00:00:00-03:00,130468.0,133318.0,130468.0,132216.0,132216.0,11342700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-24 00:00:00-03:00,132245.0,134938.0,132223.0,134580.0,134580.0,14113400,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-25 00:00:00-03:00,134579.0,134992.0,134186.0,134739.0,134739.0,13051800,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
IBOV,^BVSP,2025-04-28 00:00:00-03:00,134741.0,135709.0,134711.0,135016.0,135016.0,11449700,0.0,0.0,yahoo,2026-09-10T22:10:20+00:00
